#version: TeamCity
#If you change this file, it will not be automatically updated after the next release.
#item,id,metadata
sprucewoodleaves,leaves,1
streeleaves,leaves,1
slogleaves,leaves,1
strunkleaves,leaves,1
swoodleaves,leaves,1
darkleaves,leaves,1
darkleaf,leaves,1
dleaves,leaves,1
dleaf,leaves,1
darktreeleaves,leaves,1
darklogleaves,leaves,1
darktrunkleaves,leaves,1
darkwoodleaves,leaves,1
dtreeleaves,leaves,1
dlogleaves,leaves,1
dtrunkleaves,leaves,1
dwoodleaves,leaves,1
sprucetreeleaf,leaves,1
sprucelogleaf,leaves,1
sprucetrunkleaf,leaves,1
sprucewoodleaf,leaves,1
streeleaf,leaves,1
slogleaf,leaves,1
strunkleaf,leaves,1
swoodleaf,leaves,1
pinetreeleaf,leaves,1
pinelogleaf,leaves,1
pinetrunkleaf,leaves,1
pinewoodleaf,leaves,1
ptreeleaf,leaves,1
plogleaf,leaves,1
ptrunkleaf,leaves,1
pwoodleaf,leaves,1
darktreeleaf,leaves,1
darklogleaf,leaves,1
darktrunkleaf,leaves,1
darkwoodleaf,leaves,1
dtreeleaf,leaves,1
dlogleaf,leaves,1
dtrunkleaf,leaves,1
dwoodleaf,leaves,1
birchleaves,leaves,2
birchleaf,leaves,2
bleaves,leaves,2
bleaf,leaves,2
birchtreeleaves,leaves,2
birchlogleaves,leaves,2
birchtrunkleaves,leaves,2
birchwoodleaves,leaves,2
btreeleaves,leaves,2
blogleaves,leaves,2
btrunkleaves,leaves,2
bwoodleaves,leaves,2
lightleaves,leaves,2
lightleaf,leaves,2
lleaves,leaves,2
lleaf,leaves,2
lighttreeleaves,leaves,2
lightlogleaves,leaves,2
lighttrunkleaves,leaves,2
lightwoodleaves,leaves,2
ltreeleaves,leaves,2
llogleaves,leaves,2
ltrunkleaves,leaves,2
lwoodleaves,leaves,2
whiteleaves,leaves,2
whiteleaf,leaves,2
wleaves,leaves,2
wleaf,leaves,2
whitetreeleaves,leaves,2
whitelogleaves,leaves,2
whitetrunkleaves,leaves,2
whitewoodleaves,leaves,2
wtreeleaves,leaves,2
wlogleaves,leaves,2
wtrunkleaves,leaves,2
wwoodleaves,leaves,2
birchtreeleaf,leaves,2
birchlogleaf,leaves,2
birchtrunkleaf,leaves,2
birchwoodleaf,leaves,2
btreeleaf,leaves,2
blogleaf,leaves,2
btrunkleaf,leaves,2
bwoodleaf,leaves,2
lighttreeleaf,leaves,2
lightlogleaf,leaves,2
lighttrunkleaf,leaves,2
lightwoodleaf,leaves,2
ltreeleaf,leaves,2
llogleaf,leaves,2
ltrunkleaf,leaves,2
lwoodleaf,leaves,2
whitetreeleaf,leaves,2
whitelogleaf,leaves,2
whitetrunkleaf,leaves,2
whitewoodleaf,leaves,2
wtreeleaf,leaves,2
wlogleaf,leaves,2
wtrunkleaf,leaves,2
wwoodleaf,leaves,2
jungleleaves,leaves,3
jungleleaf,leaves,3
jleaves,leaves,3
jleaf,leaves,3
jungletreeleaves,leaves,3
junglelogleaves,leaves,3
jungletrunkleaves,leaves,3
junglewoodleaves,leaves,3
jtreeleaves,leaves,3
jlogleaves,leaves,3
jtrunkleaves,leaves,3
jwoodleaves,leaves,3
forestleaves,leaves,3
forestleaf,leaves,3
fleaves,leaves,3
fleaf,leaves,3
foresttreeleaves,leaves,3
forestlogleaves,leaves,3
foresttrunkleaves,leaves,3
forestwoodleaves,leaves,3
ftreeleaves,leaves,3
flogleaves,leaves,3
ftrunkleaves,leaves,3
fwoodleaves,leaves,3
jungletreeleaf,leaves,3
junglelogleaf,leaves,3
jungletrunkleaf,leaves,3
junglewoodleaf,leaves,3
jtreeleaf,leaves,3
jlogleaf,leaves,3
jtrunkleaf,leaves,3
jwoodleaf,leaves,3
foresttreeleaf,leaves,3
forestlogleaf,leaves,3
foresttrunkleaf,leaves,3
forestwoodleaf,leaves,3
ftreeleaf,leaves,3
flogleaf,leaves,3
ftrunkleaf,leaves,3
fwoodleaf,leaves,3
sponge,sponge,0
wetsponge,sponge,1
glass,glass,0
blockglass,glass,0
glassblock,glass,0
lapislazuliore,lapis_ore,0
lapislazulio,lapis_ore,0
orelapislazuli,lapis_ore,0
olapislazuli,lapis_ore,0
lapisore,lapis_ore,0
lapiso,lapis_ore,0
orelapis,lapis_ore,0
olapis,lapis_ore,0
lore,lapis_ore,0
orel,lapis_ore,0
lapislazuliblock,lapis_block,0
blocklapislazuli,lapis_block,0
lapisblock,lapis_block,0
blocklapis,lapis_block,0
lblock,lapis_block,0
blockl,lapis_block,0
dispenser,dispenser,0
dispense,dispenser,0
sandstone,sandstone,0
sastone,sandstone,0
cpstone,sandstone,1
creepersandstone,sandstone,1
creepersastone,sandstone,1
creepsandstone,sandstone,1
creepsastone,sandstone,1
csandstone,sandstone,1
csastone,sandstone,1
hieroglyphicsandstone,sandstone,1
hieroglyphicsastone,sandstone,1
hieroglyphsandstone,sandstone,1
hieroglyphsastone,sandstone,1
hsandstone,sandstone,1
hsastone,sandstone,1
pyramidsandstone,sandstone,1
pyramidsastone,sandstone,1
psandstone,sandstone,1
psastone,sandstone,1
chiseledsandstone,sandstone,1
chiseledsastone,sandstone,1
chiselsandstone,sandstone,1
chiselsastone,sandstone,1
smstone,sandstone,2
smoothsandstone,sandstone,2
smoothsastone,sandstone,2
ssandstone,sandstone,2
smsastone,sandstone,2
ssastone,sandstone,2
noteblock,note_block,0
musicblock,note_block,0
nblock,note_block,0
mblock,note_block,0
poweredtrack,powered_rail,0
poweredrails,powered_rail,0
poweredrail,powered_rail,0
boostertrack,powered_rail,0
boosterrails,powered_rail,0
boosterrail,powered_rail,0
powertrack,powered_rail,0
powerrails,powered_rail,0
powerrail,powered_rail,0
boosttrack,powered_rail,0
boostrails,powered_rail,0
boostrail,powered_rail,0
ptrack,powered_rail,0
prails,powered_rail,0
prail,powered_rail,0
btrack,powered_rail,0
brails,powered_rail,0
brail,powered_rail,0
detectortrack,detector_rail,0
detectorrails,detector_rail,0
detectorrail,detector_rail,0
detectingtrack,detector_rail,0
detectingrails,detector_rail,0
detectingrail,detector_rail,0
detecttrack,detector_rail,0
detectrails,detector_rail,0
detectrail,detector_rail,0
dtrack,detector_rail,0
drails,detector_rail,0
drail,detector_rail,0
stickypistonbase,piston_sticky_base,0
stickypiston,piston_sticky_base,0
stickpistonbase,piston_sticky_base,0
stickpiston,piston_sticky_base,0
stickyp,piston_sticky_base,0
spistonbase,piston_sticky_base,0
spiston,piston_sticky_base,0
pistonstickybase,piston_sticky_base,0
pistonsticky,piston_sticky_base,0
pistonstickbase,piston_sticky_base,0
pistonstick,piston_sticky_base,0
pistonsbase,piston_sticky_base,0
pistons,piston_sticky_base,0
psticky,piston_sticky_base,0
pstick,piston_sticky_base,0
spiderweb,web,0
cobweb,web,0
sweb,web,0
cweb,web,0
web,web,0
longgrass,long_grass,1
tallgrass,long_grass,1
wildgrass,long_grass,1
grasslong,long_grass,1
grasstall,long_grass,1
grasswild,long_grass,1
lgrass,long_grass,1
tgrass,long_grass,1
wgrass,long_grass,1
fern,long_grass,2
bush,long_grass,2
deadshrub,dead_bush,0
dshrub,dead_bush,0
deadbush,dead_bush,0
dbush,dead_bush,0
deadsapling,dead_bush,0
piston,piston_base,0
pistonbase,piston_base,0
pistonblock,piston_base,0
whitewool,wool,0
whitecloth,wool,0
whitecotton,wool,0
wcloth,wool,0
wwool,wool,0
wcotton,wool,0
cloth,wool,0
wool,wool,0
cotton,wool,0
orangewool,wool,1
orangecloth,wool,1
orangecotton,wool,1
ocloth,wool,1
owool,wool,1
ocotton,wool,1
magentawool,wool,2
magentacloth,wool,2
magentacotton,wool,2
mcloth,wool,2
mwool,wool,2
mcotton,wool,2
lightbluewool,wool,3
lightbluecloth,wool,3
lightbluecotton,wool,3
lbluecloth,wool,3
lbluewool,wool,3
lbluecotton,wool,3
lightblucloth,wool,3
lightbluwool,wool,3
lightblucotton,wool,3
lblucloth,wool,3
lbluwool,wool,3
lblucotton,wool,3
lbcloth,wool,3
lbwool,wool,3
lbcotton,wool,3
yellowwool,wool,4
yellowcloth,wool,4
yellowcotton,wool,4
ycloth,wool,4
ywool,wool,4
ycotton,wool,4
lightgreenwool,wool,5
lightgreencloth,wool,5
lightgreencotton,wool,5
lgreencloth,wool,5
lgreenwool,wool,5
lgreencotton,wool,5
lightgrecloth,wool,5
lightgrewool,wool,5
lightgrecotton,wool,5
lgrecloth,wool,5
lgrewool,wool,5
lgrecotton,wool,5
limecloth,wool,5
limewool,wool,5
limecotton,wool,5
lcloth,wool,5
lwool,wool,5
lcotton,wool,5
pinkwool,wool,6
pinkcloth,wool,6
pinkcotton,wool,6
picloth,wool,6
piwool,wool,6
picotton,wool,6
darkgraywool,wool,7
darkgraycloth,wool,7
darkgraycotton,wool,7
darkgreywool,wool,7
darkgreycloth,wool,7
darkgreycotton,wool,7
dgraycloth,wool,7
dgraywool,wool,7
dgraycotton,wool,7
dgreycloth,wool,7
dgreywool,wool,7
dgreycotton,wool,7
darkgracloth,wool,7
darkgrawool,wool,7
darkgracotton,wool,7
dgracloth,wool,7
dgrawool,wool,7
dgracotton,wool,7
graycloth,wool,7
graywool,wool,7
graycotton,wool,7
greycloth,wool,7
greywool,wool,7
greycotton,wool,7
gracloth,wool,7
grawool,wool,7
gracotton,wool,7
lgwool,wool,8
lightgraywool,wool,8
lightgraycloth,wool,8
lightgraycotton,wool,8
lgraycloth,wool,8
lgraywool,wool,8
lgraycotton,wool,8
lightgreywool,wool,8
lightgreycloth,wool,8
lightgreycotton,wool,8
lgreycloth,wool,8
lgreywool,wool,8
lgreycotton,wool,8
lightgracloth,wool,8
lightgrawool,wool,8
lightgracotton,wool,8
lgracloth,wool,8
lgrawool,wool,8
lgracotton,wool,8
silvercloth,wool,8
silverwool,wool,8
silvercotton,wool,8
sicloth,wool,8
siawool,wool,8
siacotton,wool,8
cyanwool,wool,9
cyancloth,wool,9
cyancotton,wool,9
ccloth,wool,9
cwool,wool,9
ccotton,wool,9
purplewool,wool,10
purplecloth,wool,10
purplecotton,wool,10
pucloth,wool,10
puwool,wool,10
pucotton,wool,10
bluewool,wool,11
bluecloth,wool,11
bluecotton,wool,11
blucloth,wool,11
bluwool,wool,11
blucotton,wool,11
brownwool,wool,12
browncloth,wool,12
browncotton,wool,12
brocloth,wool,12
browool,wool,12
brocotton,wool,12
darkgreenwool,wool,13
darkgreencloth,wool,13
darkgreencotton,wool,13
dgreencloth,wool,13
dgreenwool,wool,13
dgreencotton,wool,13
greencloth,wool,13
greenwool,wool,13
greencotton,wool,13
darkgrecloth,wool,13
darkgrewool,wool,13
darkgrecotton,wool,13
dgrecloth,wool,13
dgrewool,wool,13
dgrecotton,wool,13
grecloth,wool,13
grewool,wool,13
grecotton,wool,13
redwool,wool,14
redcloth,wool,14
redcotton,wool,14
rcloth,wool,14
rwool,wool,14
rcotton,wool,14
blackwool,wool,15
blackcloth,wool,15
blackcotton,wool,15
blacloth,wool,15
blawool,wool,15
blacotton,wool,15
dandelion,yellow_flower,0
yellowdandelion,yellow_flower,0
ydandelion,yellow_flower,0
yellowflower,yellow_flower,0
yflower,yellow_flower,0
flower,yellow_flower,0
rose,red_rose,0
redrose,red_rose,0
rrose,red_rose,0
redflower,red_rose,0
rflower,red_rose,0
poppy,red_rose,0
redpoppy,red_rose,0
blueorchid,red_rose,1
cyanorchid,red_rose,1
lightblueorchid,red_rose,1
lblueorchid,red_rose,1
orchid,red_rose,1
allium,red_rose,2
magentaallium,red_rose,2
azurebluet,red_rose,3
whiteazurebluet,red_rose,3
abluet,red_rose,3
azureb,red_rose,3
houstonia,red_rose,3
redtulip,red_rose,4
tulipred,red_rose,4
rtulip,red_rose,4
tulipr,red_rose,4
orangetulip,red_rose,5
tuliporange,red_rose,5
otulip,red_rose,5
tulipo,red_rose,5
whitetulip,red_rose,6
tulipwhite,red_rose,6
wtulip,red_rose,6
tulipw,red_rose,6
pinktulip,red_rose,7
tulippink,red_rose,7
ptulip,red_rose,7
tulipp,red_rose,7
oxeye,red_rose,8
daisy,red_rose,8
oxeyedaisy,red_rose,8
daisyoxeye,red_rose,8
moondaisy,red_rose,8
daisymoon,red_rose,8
lightgrayoxeye,red_rose,8
lgrayoxeye,red_rose,8
lightgreyoxeye,red_rose,8
lgreyoxeye,red_rose,8
brownmushroom,brown_mushroom,0
brownshroom,brown_mushroom,0
brownmush,brown_mushroom,0
bmushroom,brown_mushroom,0
bshroom,brown_mushroom,0
bmush,brown_mushroom,0
redmushroom,red_mushroom,0
redshroom,red_mushroom,0
redmush,red_mushroom,0
rmushroom,red_mushroom,0
rshroom,red_mushroom,0
rmush,red_mushroom,0
goldblock,gold_block,0
blockgold,gold_block,0
gblock,gold_block,0
blockg,gold_block,0
ironblock,iron_block,0
steelblock,iron_block,0
blockiron,iron_block,0
blocksteel,iron_block,0
iblock,iron_block,0
stblock,iron_block,0
blocki,iron_block,0
blockst,iron_block,0
stonedoublestep,double_step,0
stonedstep,double_step,0
sdoublestep,double_step,0
sdstep,double_step,0
doublestonestep,double_step,0
dstonestep,double_step,0
doublesstep,double_step,0
doublestep,double_step,0
dstep,double_step,0
stonedoubleslab,double_step,0
stonedslab,double_step,0
sdoubleslab,double_step,0
sdslab,double_step,0
doublestoneslab,double_step,0
doublestoneslab2,double_stone_slab2,0
dstoneslab,double_step,0
doublesslab,double_step,0
doubleslab,double_step,0
dslab,double_step,0
stonedoublehalfblock,double_step,0
stonedhalfblock,double_step,0
sdoublehalfblock,double_step,0
sdhalfblock,double_step,0
doublestonehalfblock,double_step,0
dstonehalfblock,double_step,0
doubleshalfblock,double_step,0
doublehalfblock,double_step,0
dhalfblock,double_step,0
sandstonedoublestep,double_step,1
sandstonedstep,double_step,1
sstonedoublestep,double_step,1
sstonedstep,double_step,1
ssdoublestep,double_step,1
ssdstep,double_step,1
doublesandstonestep,double_step,1
dsandstonestep,double_step,1
doublesstonestep,double_step,1
dsstonestep,double_step,1
doublessstep,double_step,1
dsstep,double_step,1
sandstonedoubleslab,double_step,1
sandstonedslab,double_step,1
sstonedoubleslab,double_step,1
sstonedslab,double_step,1
ssdoubleslab,double_step,1
ssdslab,double_step,1
doublesandstoneslab,double_step,1
dsandstoneslab,double_step,1
doublesstoneslab,double_step,1
dsstoneslab,double_step,1
doublessslab,double_step,1
dsslab,double_step,1
sandstonedoublehalfblock,double_step,1
sandstonedhalfblock,double_step,1
sstonedoublehalfblock,double_step,1
sstonedhalfblock,double_step,1
ssdoublehalfblock,double_step,1
ssdhalfblock,double_step,1
doublesandstonehalfblock,double_step,1
dsandstonehalfblock,double_step,1
doublesstonehalfblock,double_step,1
dsstonehalfblock,double_step,1
doublesshalfblock,double_step,1
dsshalfblock,double_step,1
plankstonedoublestep,double_step,2
woodenstonedoublestep,double_step,2
woodenstonedstep,double_step,2
woodstonedoublestep,double_step,2
woodstonedstep,double_step,2
wstonedoublestep,double_step,2
wstonedstep,double_step,2
doublewoodenstonestep,double_step,2
dwoodenstonestep,double_step,2
doublewoodstonestep,double_step,2
dwoodstonestep,double_step,2
doublewstonestep,double_step,2
dwstonestep,double_step,2
woodenstonedoubleslab,double_step,2
woodenstonedslab,double_step,2
woodstonedoubleslab,double_step,2
woodstonedslab,double_step,2
wstonedoubleslab,double_step,2
wstonedslab,double_step,2
doublewoodenstoneslab,double_step,2
dwoodenstoneslab,double_step,2
doublewoodstoneslab,double_step,2
dwoodstoneslab,double_step,2
doublewstoneslab,double_step,2
dwstoneslab,double_step,2
woodenstonedoublehalfblock,double_step,2
woodenstonedhalfblock,double_step,2
woodstonedoublehalfblock,double_step,2
woodstonedhalfblock,double_step,2
wstonedoublehalfblock,double_step,2
wstonedhalfblock,double_step,2
doublewoodenstonehalfblock,double_step,2
dwoodenstonehalfblock,double_step,2
doublewoodstonehalfblock,double_step,2
dwoodstonehalfblock,double_step,2
doublewstonehalfblock,double_step,2
dwstonehalfblock,double_step,2
cobblestonedoublestep,double_step,3
cobblestonedstep,double_step,3
cobbledoublestep,double_step,3
cobbledstep,double_step,3
cstonedoublestep,double_step,3
cstonedstep,double_step,3
csdoublestep,double_step,3
csdstep,double_step,3
doublecobblestonestep,double_step,3
dcobblestonestep,double_step,3
doublecobblestep,double_step,3
dcobblestep,double_step,3
doublecstonestep,double_step,3
dcstonestep,double_step,3
